start_station_name,date,avgtemp,value
9 Ave & W 22 St,2022-11-26,9.3,1
W 15 St & 7 Ave,2022-11-19,2.8,1
Lafayette St & E 8 St,2022-11-13,12.9,1
Vesey St & Church St,2022-11-08,13.2,1
53 St & 2 Ave,2022-11-01,16.9,1
W 211 St & 10 Ave,2022-11-24,8.1,1
5 Ave & E 87 St,2022-11-09,8.7,1
West End Ave & W 107 St,2022-11-11,16.4,1
E 33 St & 1 Ave,2022-11-25,10.0,1
Crescent St & 34 Ave,2022-11-14,6.3,1
5 Ave & E 78 St,2022-11-07,21.3,1
Boston Rd & E 167 St,2022-11-04,15.2,1
Grand Concourse & E 166 St,2022-11-05,19.4,1
Cooper Square & Astor Pl,2022-11-03,15.7,1
E 44 St & Lexington Ave,2022-11-01,16.9,1
4 Ave & E 12 St,2022-11-12,19.7,1
E 60 St & York Ave,2022-11-28,12.2,1
W 64 St & Thelonious Monk Circle,2022-11-17,5.7,1
E 4 St & 2 Ave,2022-11-19,2.8,1
W 26 St & 8 Ave,2022-11-12,19.7,1
Central Park W & W 97 St,2022-11-28,12.2,1
Fulton St & Irving Pl,2022-11-15,4.9,1
Broadway & E 21 St,2022-11-17,5.7,1
8 Ave & W 16 St,2022-11-23,9.4,1
45 Ave & 21 St,2022-11-14,6.3,1
Grand Army Plaza & Central Park S,2022-11-25,10.0,1
Sheridan Ave & E 168 St,2022-11-24,8.1,1
Bedford Ave & Nassau Ave,2022-11-21,1.1,1
E 45 St & 3 Ave,2022-11-03,15.7,1
3 Ave & E 62 St,2022-11-14,6.3,1
Broadway & W 58 St,2022-11-01,16.9,1
Graham Ave & Conselyea St,2022-11-19,2.8,1
Albee Square W & Fulton St,2022-11-12,19.7,1
E 1 St & 1 Ave,2022-11-18,4.5,1
E 11 St & Avenue B,2022-11-04,15.2,1
9 Ave & W 22 St,2022-11-06,19.8,1
Central Park West & W 72 St,2022-11-01,16.9,1
Broadway & W 61 St,2022-11-26,9.3,1
Broadway & W 48 St,2022-11-15,4.9,1
University Pl & E 14 St,2022-11-25,10.0,1
10 Ave & W 28 St,2022-11-07,21.3,1
Stanton St & Chrystie St,2022-11-15,4.9,1
Fort Washington Ave & W 173 St,2022-11-18,4.5,1
Grand St & Havemeyer St,2022-11-07,21.3,1
E 22 St & 2 Ave,2022-11-11,16.4,1
E 1 St & Bowery,2022-11-11,16.4,1
West Broadway & Watts St,2022-11-21,1.1,1
W 36 St & 9 Ave,2022-11-11,16.4,1
E 80 St & 2 Ave,2022-11-26,9.3,1
St. Nicholas Ave & W 126 St,2022-11-30,8.4,1
31 Ave & 34 St,2022-11-04,15.2,1
Charlotte St & Boston Rd,2022-11-15,4.9,1
DeKalb Ave & S Portland Ave,2022-11-23,9.4,1
Centre St & Worth St,2022-11-21,1.1,1
N 6 St & Bedford Ave,2022-11-12,19.7,1
E 16 St & Irving Pl,2022-11-02,17.6,1
Morton St & West St,2022-11-28,12.2,1
Fulton St & Adams St,2022-11-29,5.4,1
10 Ave & W 28 St,2022-11-18,4.5,1
W 22 St & 10 Ave,2022-11-02,17.6,1
St Johns Pl & Washington Ave,2022-11-15,4.9,1
Willoughby Ave & Tompkins Ave,2022-11-10,12.6,1
Broadway & E 21 St,2022-11-04,15.2,1
Grand St & Samuel Dickstein Plaza,2022-11-24,8.1,1
E 4 St & 2 Ave,2022-11-29,5.4,1
Old Fulton St,2022-11-30,8.4,1
Beaver St & Fayette St,2022-11-21,1.1,1
Crescent St & Ditmars Blvd,2022-11-03,15.7,1
E 156 St & Courtlandt Ave,2022-11-07,21.3,1
E 22 St & 2 Ave,2022-11-13,12.9,1
Stanton St & Chrystie St,2022-11-18,4.5,1
E 11 St & 3 Ave,2022-11-13,12.9,1
Douglass St & 3 Ave,2022-11-05,19.4,1
Pitt St & Stanton St,2022-11-26,9.3,1
E 78 St & 2 Ave,2022-11-02,17.6,1
Berry St & N 8 St,2022-11-03,15.7,1
1 Ave & E 68 St,2022-11-10,12.6,1
E 33 St & 1 Ave,2022-11-06,19.8,1
11 Ave & W 59 St,2022-11-07,21.3,1
35 Ave & 10 St,2022-11-01,16.9,1
31 St & Newtown Ave,2022-11-12,19.7,1
Pleasant Ave & E 116 St,2022-11-18,4.5,1
51 St & Queens Blvd,2022-11-29,5.4,1
W 35 St & Dyer Ave,2022-11-07,21.3,1
W 104 St & Amsterdam Ave,2022-11-06,19.8,1
Willoughby Ave & Myrtle Ave,2022-11-22,6.6,1
E 65 St & 2 Ave,2022-11-29,5.4,1
8 Ave & W 31 St,2022-11-23,9.4,1
E 17 St & Broadway,2022-11-02,17.6,1
W 64 St & Thelonious Monk Circle,2022-11-09,8.7,1
Broadway & Berry St,2022-11-13,12.9,1
47 Ave & 31 St,2022-11-28,12.2,1
E 80 St & 2 Ave,2022-11-18,4.5,1
E 82 St & East End Ave,2022-11-20,2.7,1
10 St & 5 Ave,2022-11-05,19.4,1
Greene Ave & Nostrand Ave,2022-11-03,15.7,1
West St & Liberty St,2022-11-03,15.7,1
E 6 St & Avenue B,2022-11-07,21.3,1
Fulton St & William St,2022-11-04,15.2,1
Broadway & W 53 St,2022-11-16,7.3,1
Bayard St & Baxter St,2022-11-02,17.6,1
Willoughby Ave & Myrtle Ave,2022-11-23,9.4,1
31 St & Newtown Ave,2022-11-07,21.3,1
Bayard St & Baxter St,2022-11-26,9.3,1
Suffolk St & Stanton St,2022-11-04,15.2,1
Broadway & E 21 St,2022-11-21,1.1,1
Forsyth St & Broome St,2022-11-30,8.4,1
W 16 St & The High Line,2022-11-01,16.9,1
W 27 St & 7 Ave,2022-11-30,8.4,1
W 12 St & Hudson St,2022-11-27,10.7,1
Lexington Ave & E 29 St,2022-11-28,12.2,1
W 47 St & 6 Ave,2022-11-06,19.8,1
W 26 St & 8 Ave,2022-11-02,17.6,1
Flushing Ave & Woodward Ave,2022-11-20,2.7,1
Broadway & W 51 St,2022-11-08,13.2,1
W 15 St & 6 Ave,2022-11-27,10.7,1
Lawrence St & Willoughby St,2022-11-04,15.2,1
Driggs Ave & N 9 St,2022-11-10,12.6,1
West Thames St,2022-11-17,5.7,1
E 2 St & Avenue B,2022-11-29,5.4,1
W 52 St & 6 Ave,2022-11-01,16.9,1
W 51 St & 6 Ave,2022-11-01,16.9,1
Broadway & W 25 St,2022-11-20,2.7,1
Broadway & W 29 St,2022-11-26,9.3,1
Huron St & Franklin St,2022-11-06,19.8,1
Madison St & Forest Ave,2022-11-05,19.4,1
9 Ave & W 22 St,2022-11-26,9.3,1
Bergen St & Vanderbilt Ave,2022-11-08,13.2,1
W 15 St & 10 Ave,2022-11-21,1.1,1
W 47 St & 9 Ave,2022-11-10,12.6,1
9 Ave & W 18 St,2022-11-20,2.7,1
W 13 St & 5 Ave,2022-11-13,12.9,1
W 34 St & 11 Ave,2022-11-13,12.9,1
W 26 St & 10 Ave,2022-11-29,5.4,1
Centre St & Chambers St,2022-11-07,21.3,1
E 20 St & FDR Dr,2022-11-17,5.7,1
Front St & Jay St,2022-11-08,13.2,1
34 Ave & 21 St,2022-11-04,15.2,1
E 11 St & 3 Ave,2022-11-18,4.5,1
South St & Whitehall St,2022-11-01,16.9,1
Broadway & W 29 St,2022-11-28,12.2,1
Willoughby Ave & Onderdonk Ave,2022-11-07,21.3,1
Berry St & N 8 St,2022-11-07,21.3,1
W 42 St & 8 Ave,2022-11-23,9.4,1
E 16 St & Irving Pl,2022-11-07,21.3,1
Allen St & Hester St,2022-11-29,5.4,1
W 42 St & 8 Ave,2022-11-26,9.3,1
Waterloo Pl & Crotona Park East,2022-11-07,21.3,1
West St & Liberty St,2022-11-02,17.6,1
11 Ave & W 41 St,2022-11-20,2.7,1
W 43 St & 10 Ave,2022-11-08,13.2,1
E 16 St & 5 Ave,2022-11-15,4.9,1
E 20 St & 2 Ave,2022-11-04,15.2,1
W 43 St & 10 Ave,2022-11-03,15.7,1
Washington Square E,2022-11-07,21.3,1
Norfolk St & Broome St,2022-11-18,4.5,1
Perry St & Bleecker St,2022-11-06,19.8,1
Broadway & E 19 St,2022-11-25,10.0,1
Old Slip & South St,2022-11-10,12.6,1
E 25 St & 1 Ave,2022-11-07,21.3,1
Jefferson St & Cypress Ave,2022-11-27,10.7,1
39 St & 50 Ave,2022-11-27,10.7,1
Park Pl & Church St,2022-11-14,6.3,1
W 27 St & 7 Ave,2022-11-22,6.6,1
E 10 St & 2 Ave,2022-11-05,19.4,1
5 Ave & E 29 St,2022-11-02,17.6,1
E 58 St & 1 Ave (NW Corner),2022-11-29,5.4,1
11 Ave & W 59 St,2022-11-18,4.5,1
MacDougal St & Prince St,2022-11-03,15.7,1
7 Ave & 17 St,2022-11-28,12.2,1
Thompson St & Bleecker St,2022-11-05,19.4,1
Barclay St & Church St,2022-11-22,6.6,1
Broadway & W 165 St,2022-11-06,19.8,1
E 47 St & 2 Ave,2022-11-07,21.3,1
Central Park North & Adam Clayton Powell Blvd,2022-11-05,19.4,1
E 14 St & 1 Ave,2022-11-24,8.1,1
W 30 St & 10 Ave,2022-11-05,19.4,1
Grand St & Elizabeth St,2022-11-28,12.2,1
Broadway & W 38 St,2022-11-16,7.3,1
Monroe St & Tompkins Ave,2022-11-14,6.3,1
34 Ave & 38 St,2022-11-21,1.1,1
W 51 St & 6 Ave,2022-11-03,15.7,1
Ave A & E 14 St,2022-11-04,15.2,1
E 47 St & 2 Ave,2022-11-08,13.2,1
E 1 St & 1 Ave,2022-11-18,4.5,1
8 Ave & W 31 St,2022-11-06,19.8,1
Ave A & E 14 St,2022-11-09,8.7,1
Bergen St & Vanderbilt Ave,2022-11-10,12.6,1
E 7 St & Avenue A,2022-11-24,8.1,1
Little West St & 1 Pl,2022-11-28,12.2,1
E 11 St & Avenue B,2022-11-30,8.4,1
Butler St & Court St,2022-11-21,1.1,1
W 47 St & 9 Ave,2022-11-29,5.4,1
Carroll St & Columbia St,2022-11-17,5.7,1
W 13 St & 5 Ave,2022-11-18,4.5,1
Berkeley Pl & 7 Ave,2022-11-30,8.4,1
W 42 St & 6 Ave,2022-11-15,4.9,1
W 76 St & Columbus Ave,2022-11-23,9.4,1
St Marks Pl & 2 Ave,2022-11-26,9.3,1
E 56 St & Madison Ave,2022-11-05,19.4,1
Grand St & Samuel Dickstein Plaza,2022-11-12,19.7,1
Grand St & Havemeyer St,2022-11-01,16.9,1
Christopher St & Greenwich St,2022-11-04,15.2,1
W 10 St & Washington St,2022-11-24,8.1,1
Avenue D & E 12 St,2022-11-08,13.2,1
6 Ave & W 33 St,2022-11-11,16.4,1
W 51 St & 6 Ave,2022-11-07,21.3,1
E 55 St & 2 Ave,2022-11-26,9.3,1
President St & Henry St,2022-11-23,9.4,1
E 53 St & Madison Ave,2022-11-17,5.7,1
Atlantic Ave & Furman St,2022-11-16,7.3,1
Madison Ave & E 26 St,2022-11-05,19.4,1
1 Ave & E 18 St,2022-11-01,16.9,1
S 3 St & Bedford Ave,2022-11-09,8.7,1
Calyer St & Jewel St,2022-11-12,19.7,1
Fulton St & Adams St,2022-11-15,4.9,1
W 44 St & 11 Ave,2022-11-09,8.7,1
Perry St & Greenwich Ave,2022-11-22,6.6,1
E Burnside Ave & Ryer Ave,2022-11-04,15.2,1
E 3 St & 1 Ave,2022-11-29,5.4,1
Douglass St & 4 Ave,2022-11-10,12.6,1
S 4 St & Wythe Ave,2022-11-10,12.6,1
3 Ave & E 62 St,2022-11-03,15.7,1
